title,authors,publisher,published_date,page_count,categories,average_rating,language
"A Century of Continental History, 1780-1880",John Holland Rose,Tidak diketahui,1900-01-01,440,Europe,4.083333333333333,en
A History of New England,"R. H. Howard, Henry E. Crocker",Tidak diketahui,1879-01-01,854,New England,4.083333333333333,en
The History of Sicily from the Earliest Times,Freeman,Tidak diketahui,1891-01-01,628,Tidak diketahui,4.083333333333333,en
History of the United States,Alma Holman Burton,Tidak diketahui,1899-01-01,460,United States,4.083333333333333,en
History of Civilization in England,Buckle,Tidak diketahui,1891-01-01,622,Tidak diketahui,4.083333333333333,en
The History of Freemasonry,Robert Freke Gould,Tidak diketahui,1886-01-01,292,Tidak diketahui,4.083333333333333,en
History of Civilization in England,Henry Thomas Buckle,Tidak diketahui,1877-01-01,522,France,4.083333333333333,en
"Merlin ; Or, the Early History of King Arthur",Henry Benjamin Wheatley,Tidak diketahui,1865-01-01,156,Arthurian romances,4.083333333333333,en
The History of the Jews,Henry Hart Milman,Tidak diketahui,1881-01-01,518,Jews,4.083333333333333,en
"The Constitutional History of England Since the Accession of George the Third, 1760-1860",Thomas Erskine May (Baron Farnborough.),Tidak diketahui,1871-01-01,554,Tidak diketahui,4.083333333333333,en
The History of the Ancient Town and Borough of Newbury in the County of Berks,Walter Money,Tidak diketahui,1887-01-01,658,Berkshire (England),4.083333333333333,en
A history of the Scottish people from the earliest times,Thomas Napier Thomson,Tidak diketahui,1893-01-01,336,Tidak diketahui,4.083333333333333,en
Implementasi G'Rotate History untuk Meningkatkan Karakter Gotongroyong dan Keterampilan Berkomunikasi Peserta Didik,Wulan Dwi Aryani,Wulan Dwi Aryani,1895-01-01,213,Antiques & Collectibles,4.083333333333333,id
The History of the Reformation of Religion Within the Realm of Scotland,John Knox,Tidak diketahui,1899-01-01,400,Reformation,4.083333333333333,en
A Short History of German Literature,Hosmer,Tidak diketahui,1892-01-01,630,Tidak diketahui,4.083333333333333,en
"Animal Plagues; Their History, Nature, and Prevention",George Fleming (Veterinary Surgeon.),Tidak diketahui,1882-01-01,560,Tidak diketahui,4.083333333333333,en
MODEL PEMBELAJARAN CITIZEN SCIENCE PROJECT,"Adnan, St. Saenab, Rahmatullah, Rifka Almunawarah, Sahla Sahira, Suhardi Aldi",Penerbit P4I,1895-01-01,150,Education,4.083333333333333,id
PENGANTAR DATA SCIENCE: MENGUBAH BIG DATA MENJADI KEPUTUSAN STRATEGIS,"Melda Agnes Manuhutu, Al Hujjah Asianingrum, Ashari Wicaksono, Mohammad Givi Efgivia, Rifqi Aulya Rahman, Selvi Annisa, Eni Heni Hermaliani, Nur Hasanah, Achmad Maududie, Anastasia Adelia Evangeline, Chandra Dewi Kurnianingtyas, Sigit Dwi Prabowo",Penerbit Widina,1895-01-01,276,Computers,4.083333333333333,id
Why? The Science of Cooking - Sains dalam Memasak,YeaRimDang,Elex Media Komputindo,1895-01-01,164,Cooking,4.083333333333333,id
The Dismal Science,William Dillon,Tidak diketahui,1882-01-01,276,Economics,4.083333333333333,en
English Mechanic and Mirror of Science and Art,Tidak diketahui,Tidak diketahui,1893-01-01,634,Technology,4.083333333333333,en
Journal of Social Science,Tidak diketahui,Tidak diketahui,1890-01-01,370,Social sciences,4.083333333333333,en
Gunton's Magazine of Practical Economics and Political Science,Tidak diketahui,Tidak diketahui,1894-01-01,366,Social sciences,4.083333333333333,en
The Dublin Journal of Medical Science,Tidak diketahui,Tidak diketahui,1891-01-01,574,Medicine,4.083333333333333,en
"Evolution in Science, Philosophy, and Art",Brooklyn Ethical Association,Tidak diketahui,1891-01-01,506,Evolution,4.083333333333333,en
Proceedings of the American Association for the Advancement of Science,American Association for the Advancement of Science,Tidak diketahui,1872-01-01,508,Science,4.083333333333333,en
